,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
0,0.12128888674744395,0.48876177786201896,0.25464265295903016,0.33714236818322374,0.024953796735646273,R
1,0.632921038873192,0.45673412813920433,0.7561395021651154,0.5491636913321809,0.6567957356300225,M
2,0.8719968296019311,0.4946772699391377,0.6663179662183047,0.933382888250994,0.8757878650091875,M
3,0.4047143651712251,0.2507832157961721,0.0010757557422607254,0.2724908946706758,0.0007023204940127598,R
4,0.8417164035478817,0.44442489031449706,0.8055337384768129,0.5328308189304959,0.7290458108898584,M
5,0.6409863425302093,0.6205529886507776,0.8151681265743849,0.4742326840793658,0.6343115782684494,M
6,0.25296218825340155,0.18814064602232247,0.515475604414269,0.13478095433608858,0.474288497037095,R
7,0.06967888051071196,0.10102131431890926,0.04416918193399725,0.5596849314295564,0.014142650559244975,R
8,0.10294176709160857,0.5528231738937902,0.2355672272810866,0.28470623168404807,0.30263314965889865,R
9,0.8303028037106874,0.8818594562203703,0.9444170527860707,0.5393775303925654,0.6873032393288826,M
10,0.25888732313870894,0.2130363307326248,0.2521875104786071,0.492941867583378,0.45225893809911916,R
11,0.46157906146585487,0.7639690806933291,0.8359464484820074,0.45613559945264615,0.5457712195593862,M
12,0.9968079617875036,0.8395552828891542,0.5000509983054304,0.49488996934183815,0.6517264286731874,M
13,0.45705158207529967,0.00279409043269513,0.35926002250278033,0.4028799162456253,0.4448289364339758,R
14,0.44877296589436627,0.7960236664049217,0.690185349132772,0.9206064697624277,0.9854969467111581,M
15,0.7671896168855826,0.7494664740085883,0.5505176594160432,0.46678905116760117,0.6915831622568366,M
16,0.18925872708476235,0.12516490508218014,0.08410147658139722,0.21978704599906057,0.1886094646057726,R
17,0.6751367509716484,0.6621819592417044,0.8122809193736746,0.5926381974366026,0.6920754743134183,M
18,0.9072642963718123,0.5298161447164422,0.6032991307595245,0.7999250384615895,0.9959670527566269,M
19,0.5446680097756975,0.749734897740805,0.9790427895242493,0.9491263898285089,0.5642850717165466,M
20,0.8127844678623419,0.44581312326636935,0.41992369298747845,0.799463070536593,0.5121438652274105,M
21,0.8728286827995921,0.9095531523275711,0.6714196666684719,0.9241487820427707,0.876526436936126,M
22,0.7531702877551898,0.5831327538569908,0.5688012584093833,0.6943631475715158,0.5324934220850323,M
23,0.9149738858100431,0.46336154277312114,0.7151875893055376,0.7294284057493433,0.8329819356321067,M
24,0.6356628153140793,0.7294687817312677,0.8302795085176564,0.7371968033947082,0.8525515651669993,M
25,0.4648858637064525,0.9368984439360228,0.4712812389899893,0.9184597426719221,0.8710781275740658,M
26,0.07995735124429636,0.20719468025137266,0.47610214743240875,0.4394292352645765,0.17033422306720278,R
27,0.822135461735053,0.8452497458640988,0.587237299004456,0.586331365326721,0.46986434160253543,M
28,0.5365199421655257,0.40149605808006633,0.10338013365503416,0.5154314916677452,0.08302533873393622,R
29,0.3255018647270274,0.14500323212244523,0.5695190510299546,0.2903568769281488,0.33532949778550214,R
30,0.9193293736479304,0.5875672596822021,0.4486362887003362,0.6739315947312916,0.9330113575982761,M
31,0.7422540399746147,0.5695580248337774,0.6786870802086209,0.5769135850963062,0.6475526814925721,M
32,0.022793524038015805,0.5565506006289316,0.5425901750764061,0.35737998109902286,0.1635708221497421,R
33,0.2585388299428412,0.30624412106258553,0.06724657682851413,0.38257539527014495,0.13130091293033602,R
34,0.10375829054739374,0.09288399802951595,0.4339752791747758,0.4507057395423591,0.13383664339086754,R
35,0.4692789994219484,0.0813511906033902,0.19304259604811536,0.428294612080118,0.012718974333484108,R
36,0.2901657708684107,0.5454742006000499,0.3188645848713151,0.4788794634810105,0.4504602117190554,R
37,0.5409768644105836,0.35088934407056643,0.12533790930115135,0.1006273207008407,0.2886952869413009,R
38,0.5257059460933268,0.35842866844240284,0.11231576695889561,0.4882433544616603,0.38436800549457817,R
39,0.3109967801890936,0.007482261993326446,0.09555261222934153,0.32529942114699806,0.1529881891885764,R
40,0.040817118681227456,0.4397939550920652,0.0632565558074217,0.05791628325113854,0.396231856383465,R
41,0.27499712420853106,0.4407195567632836,0.5738970943839768,0.1590725477272707,0.3727403832108835,R
42,0.8206061783554452,0.9795050407978081,0.8157048285166786,0.7938984369697573,0.44974327524704316,M
43,0.40929086336506443,0.518070296344458,0.09741862842475704,0.5037562441626506,0.07729662981718563,R
44,0.9313017493630946,0.5707499214302552,0.8931752389271284,0.8300926139187295,0.433242999325089,M
45,0.7135658945508838,0.6238198076516818,0.6544595170525349,0.7836296761867403,0.5052459828076424,M
46,0.9430467743865967,0.8525960608034902,0.710348928774871,0.7805241411768467,0.9470471110073735,M
47,0.8154805215061565,0.8078861055636011,0.4765600525523253,0.8151428557243794,0.7293703948950409,M
48,0.8942907139710423,0.9835053593487251,0.4472068339241833,0.5094307790965521,0.9625364796844393,M
49,0.6050377973612088,0.9671639792649167,0.8187269436681375,0.7466531234228412,0.7039043652114128,M
50,0.8537587825844298,0.45404891908852263,0.48493995988367344,0.6979468304397612,0.5457905914666094,M
51,0.9265442023953947,0.5011666312558766,0.9452471940279092,0.8502853816462008,0.886720166167638,M
52,0.9486348907706261,0.5487790405124098,0.8586325500184178,0.6680547831696217,0.8492399799318444,M
53,0.7402054724916949,0.5691536747618707,0.7450352869749488,0.6603616110908643,0.6230568548662114,M
54,0.2905505183770215,0.3299337809159789,0.2887318508477788,0.3782912336177122,0.14838790669150614,R
55,0.7320557848462519,0.8265415202133393,0.8982271686881671,0.927307475870973,0.6252903454620582,M
56,0.04511783977409233,0.15927632483173865,0.3599654364839381,0.5113406229640427,0.012607360028380634,R
