,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.541440083220057,0.019024371921032273,0.5629291705384036,0.38720459254856116,0.09220727558905442,R
1,0.8948830729611894,0.46285039434337416,0.7356542681050915,0.5216998957759982,0.9416437359070633,M
2,0.9361825376977551,0.781113896057569,0.6993462907806738,0.855059935134635,0.6084329388045845,M
3,0.05601647795278485,0.39088763796928405,0.47321291047127373,0.2665450780768188,0.27549726993000934,R
4,0.4793646061864236,0.4701505664865473,0.5210905768896585,0.066616666726187,0.19785842342034216,R
5,0.7659195889785708,0.9104415928038521,0.7952656422970382,0.6837357198742442,0.7673151563677556,M
6,0.01695563908577675,0.4961568665435705,0.07752392672521377,0.4530670251783282,0.09554713155789725,R
7,0.504918150657833,0.4876580976363509,0.2877477073189529,0.14322769155278484,0.5261952934630723,R
8,0.22730448057386565,0.1819432884716126,0.15129697414443521,0.07417302369255063,0.5568231792423157,R
9,0.47728510485689235,0.9693174136596017,0.9591196937332338,0.45340898605054847,0.8365789406212563,M
10,0.371034198327936,0.4218284297931086,0.4183583323192328,0.02971991381048859,0.5588935886915455,R
11,0.49274342331733434,0.5530567378917985,0.37381982291488397,0.36073981071786726,0.4577158512245597,R
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,0.9478378560158407,0.4380720776509653,0.9234100593097356,0.8163751182682404,0.8699437857161325,M
29,0.3403539925049943,0.341014747953789,0.5719139415230821,0.06966826603535889,0.40519881888082504,R
30,0.205798580490274,0.10836439818308721,0.45050939001481116,0.2695179390083052,0.250078562240813,R
31,0.029502578553075934,0.5025985439389569,0.15435806146758466,0.07859705217760365,0.2737337742917367,R
32,0.5755451539235235,0.798734438452193,0.501520691991563,0.9412452996010099,0.5966660014355928,M
33,0.8865700720381997,0.7604972308161018,0.567350803438775,0.7628965249966959,0.668086999582285,M
34,0.4323862025039235,0.5769389954384517,0.6006808204053544,0.8639262593589172,0.9808633178761386,M
35,0.5604579415506762,0.3121918096164735,0.26571656962392376,0.21977754973382327,0.13036976697505237,R
36,0.7850712694905382,0.9960826833560004,0.967985202795751,0.871877884517481,0.6520462002150988,M
37,0.4998481882626233,0.8025903137732088,0.9625102908679015,0.7568035465909886,0.8481514150923412,M
38,0.4109144049152483,0.47012250149590495,0.2884907931755122,0.4538965871105859,0.27950491694868296,R
39,0.43256282457104006,0.019218324824169485,0.3437022321064467,0.22877684933443382,0.12504414499512045,R
40,0.8133608558273807,0.4467803495988508,0.8504584713704748,0.5877978110020698,0.6673870472239698,M
41,0.15476666898829722,0.21829698072293538,0.3202180118220409,0.28382580468278834,0.2965125908774138,R
42,0.38286299543244556,0.14963295909734375,0.2695379265929629,0.342172347589045,0.4529516765621114,R
43,0.5860458832539052,0.9845676642047909,0.4626070058964638,0.925321768891137,0.5544613643704661,M
44,0.4664202653212349,0.5886122955635027,0.8071768475762353,0.5059382400410338,0.9825849710285277,M
45,0.51724698297093,0.20259397803081977,0.3811986189670864,0.0531020986018338,0.11924028519863472,R
46,0.9583634221008488,0.7142155059174087,0.9498562470561052,0.5575279452261087,0.88678326830203,M
47,0.5792791981559627,0.9542048918120827,0.9853891775322341,0.7957865081009342,0.46479761658288743,M
48,0.28697262792235484,0.5298426683404851,0.4230211010456425,0.36257955203691117,0.07089390943479218,R
49,0.7127572307460974,0.45952381246991114,0.5484657555283001,0.8025864175351387,0.5165682363951765,M
50,0.8595511368677575,0.8295848172057105,0.7694828874011814,0.7783775111162967,0.8924283723570795,M
51,0.6661915890332253,0.7577564515015227,0.6828045559566627,0.4593283935390911,0.5073603453507015,M
52,0.9883198028747351,0.9489359216664905,0.5937083207490566,0.9444596923835189,0.804114173724255,M
53,0.7289421179622728,0.5853392141621102,0.5939146163358193,0.6388549616284224,0.6484721425058891,M
54,0.9678246272854658,0.8478095637720406,0.506939336620707,0.8656054420736474,0.6717367093334032,M
55,0.25678175031120676,0.2472652364146764,0.5137744066170232,0.04167013977859183,0.31380892293970963,R
56,0.7641935839187395,0.7346011139599958,0.775049967855509,0.4647855216836639,0.8750443874723781,M
